Time,Stage
2022-09-30 09:00:00,1.95
2022-09-30 10:00:00,2.45
2022-09-30 11:00:00,2.93
2022-09-30 12:00:00,2.99
2022-09-30 13:00:00,2.94
2022-09-30 14:00:00,2.53
2022-09-30 15:00:00,2.13
2022-09-30 16:00:00,1.66
2022-09-30 17:00:00,1.27
2022-09-30 18:00:00,1.09
2022-09-30 19:00:00,1.32
2022-09-30 20:00:00,1.6
2022-09-30 21:00:00,2.05
2022-09-30 22:00:00,2.51
2022-09-30 23:00:00,2.84
2022-10-01 00:00:00,3.0
2022-10-01 01:00:00,2.89
2022-10-01 02:00:00,2.48
2022-10-01 03:00:00,2.0
2022-10-01 04:00:00,1.54
2022-10-01 05:00:00,1.15
2022-10-01 06:00:00,1.11
2022-10-01 07:00:00,1.27
2022-10-01 08:00:00,1.58
2022-10-01 09:00:00,2.09
2022-10-01 10:00:00,2.64
2022-10-01 11:00:00,3.16
2022-10-01 12:00:00,3.54
2022-10-01 13:00:00,3.64
2022-10-01 14:00:00,3.44
2022-10-01 15:00:00,3.07
2022-10-01 16:00:00,2.59
2022-10-01 17:00:00,2.17
2022-10-01 18:00:00,1.92
2022-10-01 19:00:00,1.85
2022-10-01 20:00:00,1.91
2022-10-01 21:00:00,2.33
2022-10-01 22:00:00,2.72
2022-10-01 23:00:00,3.14
